alsa-utils 1.2.14-1
aquamarine-git 0.9.5.r5.g6247923-1
base 3-2
base-devel 1-2
bluez 5.84-1
bluez-deprecated-tools 5.84-1
bluez-utils 5.84-1
brightnessctl 0.5.1-3
catppuccin-gtk-theme-mocha 1.0.3-1
cliphist 1:0.7.0-1
cpupower 6.17-2
docker-desktop 4.49.0-2
dolphin 25.08.2-1
efibootmgr 18-3
flatpak 1:1.16.1-1
git 2.51.1-2
github-cli 2.82.1-1
google-chrome 142.0.7444.59-1
grub 2:2.12.r418.g6b5c671d-2
gst-libav 1.26.7-1
gst-plugins-bad 1.26.7-1
gst-plugins-base 1.26.7-1
gst-plugins-good 1.26.7-1
gst-plugins-ugly 1.26.7-1
gtk 1.2.10-20
hyprcursor-git 0.1.13.r0.g44e91d4-1
hyprland-git 0.51.0.r129.g6ade4d5-1
hyprland-meta-git 0.0.1-5
hyprshot 1.3.0-4
jq 1.8.1-1
kde-cli-tools 6.4.5-1
keyd 2.5.0-1
kio-admin 25.08.2-1
kitty 0.43.1-1
konsole 25.08.2-1
less 1:685-1
libcamera-git r5827.48560d72-1
libreoffice-still 25.2.6-5
libva-nvidia-driver 0.0.14-1
libva-utils 2.22.0-1
linux 6.17.4.arch2-1
linux-firmware 20251011-1
linux-headers 6.17.4.arch2-1
lohit-fonts 2.95.5.1-2
mdp 1.0.18-1
nano 8.6-1
neofetch 7.1.0-2
neovim-git 0.12.0.r1547.gce9a73625a-1
nerd-fonts-noto-sans-mono 3.2.1-1
networkmanager 1.54.1-1
notepad++ 8.8.5-1
noto-fonts 1:2025.10.01-1
noto-fonts-cjk 20240730-1
nvidia-bl-dkms 18.11.0-3
nvidia-dkms 580.95.05-1
nvidia-settings 580.95.05-1
nvidia-utils 580.95.05-1
nwg-look 1.0.6-1
obs-studio-git 32.0.2.r1.gea7078b-1
ollama-cuda 0.12.6-2
os-prober 1.83-1
otf-aurulent-nerd 3.4.0-1
otf-codenewroman-nerd 3.4.0-1
otf-comicshanns-nerd 3.4.0-1
otf-commit-mono-nerd 3.4.0-1
otf-droid-nerd 3.4.0-1
otf-firamono-nerd 3.4.0-1
otf-geist-mono-nerd 3.4.0-1
otf-hasklig-nerd 3.4.0-1
otf-hermit-nerd 3.4.0-1
otf-monaspace-nerd 3.4.0-1
otf-opendyslexic-nerd 3.4.0-1
otf-overpass-nerd 3.4.0-1
pavucontrol 1:6.2-1
pgadmin4-desktop 9.8-1
pipewire-alsa 1:1.4.9-1
pipewire-audio 1:1.4.9-1
pipewire-jack 1:1.4.9-1
pipewire-pulse 1:1.4.9-1
postgresql 17.6-2
power-profiles-daemon 0.30-1
python-gensim 4.3.3-1
sof-firmware 2025.05.1-1
stow 2.4.1-1
swaylock-effects 1.7.0.0-4
swaync 0.12.2-1
ttf-0xproto-nerd 3.4.0-1
ttf-3270-nerd 3.4.0-1
ttf-agave-nerd 3.4.0-1
ttf-anonymouspro-nerd 3.4.0-1
ttf-arimo-nerd 3.4.0-1
ttf-bigblueterminal-nerd 3.4.0-1
ttf-bitstream-vera-mono-nerd 3.4.0-1
ttf-cascadia-code-nerd 3.4.0-1
ttf-cascadia-mono-nerd 3.4.0-1
ttf-cousine-nerd 3.4.0-1
ttf-d2coding-nerd 3.4.0-1
ttf-daddytime-mono-nerd 3.4.0-1
ttf-dejavu-nerd 3.4.0-1
ttf-envycoder-nerd 3.4.0-1
ttf-fantasque-nerd 3.4.0-1
ttf-firacode-nerd 3.4.0-1
ttf-go-nerd 3.4.0-1
ttf-gohu-nerd 3.4.0-1
ttf-hack-nerd 3.4.0-1
ttf-heavydata-nerd 3.4.0-1
ttf-iawriter-nerd 3.4.0-1
ttf-ibmplex-mono-nerd 3.4.0-1
ttf-inconsolata-go-nerd 3.4.0-1
ttf-inconsolata-lgc-nerd 3.4.0-1
ttf-inconsolata-nerd 3.4.0-1
ttf-intone-nerd 3.4.0-1
ttf-iosevka-nerd 3.4.0-1
ttf-iosevkaterm-nerd 3.4.0-1
ttf-iosevkatermslab-nerd 3.4.0-1
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-lekton-nerd 3.4.0-1
ttf-liberation-mono-nerd 3.4.0-1
ttf-lilex-nerd 3.4.0-1
ttf-martian-mono-nerd 3.4.0-1
ttf-meslo-nerd 3.4.0-1
ttf-monofur-nerd 3.4.0-1
ttf-monoid-nerd 3.4.0-1
ttf-mononoki-nerd 3.4.0-1
ttf-mplus-nerd 3.4.0-1
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-noto-nerd 3.4.0-1
ttf-profont-nerd 3.4.0-1
ttf-proggyclean-nerd 3.4.0-1
ttf-recursive-nerd 3.4.0-1
ttf-roboto-mono-nerd 3.4.0-1
ttf-sharetech-mono-nerd 3.4.0-1
ttf-sourcecodepro-nerd 3.4.0-1
ttf-space-mono-nerd 3.4.0-1
ttf-terminus-nerd 3.4.0-1
ttf-tinos-nerd 3.4.0-1
ttf-ubuntu-mono-nerd 3.4.0-1
ttf-ubuntu-nerd 3.4.0-1
ttf-victor-mono-nerd 3.4.0-1
ttf-zed-mono-nerd 3.4.0-1
visual-studio-code-bin 1.106.3-1
waybar 0.14.0-3
wireplumber 0.5.12-1
wlogout 1.2.2-0
wlr-randr 0.5.0-1
woff2-font-awesome 7.1.0-1
wofi 1.5.1-1
xdg-desktop-portal-git 1.20.1.r193.gc0086cb8-1
xdg-desktop-portal-gtk-git 1.15.3+4+g7fe3fd1-1
xdg-desktop-portal-wlr 0.7.1-2
xdg-user-dirs 0.19-2
xorg-xwayland-git 24.1.9.r1095.g475d9f49a-1
yay-git 12.5.1.r2.g38397d16-1
zip 3.0-11
zotero-bin 7.0.27-1
